위치명,위도,경도,,
계룡시 금암동,,,,
계룡시 두마면,,,,
계룡시 신도안면,,,,
계룡시 엄사면,,,,
공주시 계룡면,,,,
공주시 금성동,,,,
공주시 금학동,,,,
공주시 금흥동,,,,
공주시 동현동,,,,
공주시 반죽동,,,,
공주시 반포면,,,,
공주시 봉황동,,,,
공주시 사곡면,,,,
공주시 산성동,,,,
공주시 송선동,,,,
공주시 신관동,,,,
공주시 쌍신동,,,,
공주시 옥룡동,,,,
공주시 웅진동,,,,
공주시 월송동,,,,
공주시 유구읍,,,,
공주시 이인면,,,,
공주시 정안면,,,,
금산군 복수면,,,,
금산군 진산면,,,,
금산군 추부면,,,,
논산시 벌곡면,,,,
당진시 신평면,,,,
당진시 우강면,,,,
당진시 정미면,,,,
대전광역시 대덕구 대화동,,,,
대전광역시 대덕구 덕암동,,,,
대전광역시 대덕구 목상동,,,,
대전광역시 대덕구 문평동,,,,
대전광역시 대덕구 미호동,,,,
대전광역시 대덕구 법동,,,,
대전광역시 대덕구 비래동,,,,
대전광역시 대덕구 삼정동,,,,
대전광역시 대덕구 상서동,,,,
대전광역시 대덕구 석봉동,,,,
대전광역시 대덕구 송촌동,,,,
대전광역시 대덕구 신대동,,,,
대전광역시 대덕구 신일동,,,,
대전광역시 대덕구 신탄진동,,,,
대전광역시 대덕구 연축동,,,,
대전광역시 대덕구 오정동,,,,
대전광역시 대덕구 와동,,,,
대전광역시 대덕구 용호동,,,,
대전광역시 대덕구 읍내동,,,,
대전광역시 대덕구 이현동,,,,
대전광역시 대덕구 장동,,,,
대전광역시 대덕구 중리동,,,,
대전광역시 대덕구 평촌동,,,,
대전광역시 동구 가양동,,,,
대전광역시 동구 가오동,,,,
대전광역시 동구 구도동,,,,
대전광역시 동구 낭월동,,,,
대전광역시 동구 대동,,,,
대전광역시 동구 대별동,,,,
대전광역시 동구 대성동,,,,
대전광역시 동구 마산동,,,,
대전광역시 동구 비룡동,,,,
대전광역시 동구 삼괴동,,,,
대전광역시 동구 삼성동,,,,
대전광역시 동구 삼정동,,,,
대전광역시 동구 상소동,,,,
대전광역시 동구 성남동,,,,
대전광역시 동구 세천동,,,,
대전광역시 동구 소제동,,,,
대전광역시 동구 소호동,,,,
대전광역시 동구 신상동,,,,
대전광역시 동구 신안동,,,,
대전광역시 동구 신하동,,,,
대전광역시 동구 신흥동,,,,
대전광역시 동구 용운동,,,,
대전광역시 동구 용전동,,,,
대전광역시 동구 원동,,,,
대전광역시 동구 이사동,,,,
대전광역시 동구 인동,,,,
대전광역시 동구 자양동,,,,
대전광역시 동구 장척동,,,,
대전광역시 동구 정동,,,,
대전광역시 동구 주산동,,,,
대전광역시 동구 주촌동,,,,
대전광역시 동구 중동,,,,
대전광역시 동구 직동,,,,
대전광역시 동구 천동,,,,
대전광역시 동구 추동,,,,
대전광역시 동구 판암동,,,,
대전광역시 동구 하소동,,,,
대전광역시 동구 홍도동,,,,
대전광역시 동구 효동,,,,
대전광역시 동구 효평동,,,,
보은군 회남면,,,,
보은군 회인면,,,,
부여군 규암면,,,,
대전광역시 서구 가수원동,,,,
대전광역시 서구 가장동,,,,
대전광역시 서구 갈마동,,,,
대전광역시 서구 관저동,,,,
대전광역시 서구 괴곡동,,,,
대전광역시 서구 괴정동,,,,
대전광역시 서구 내동,,,,
대전광역시 서구 도마동,,,,
대전광역시 서구 도안동,,,,
대전광역시 서구 둔산동,,,,
대전광역시 서구 만년동,,,,
대전광역시 서구 매노동,,,,
대전광역시 서구 변동,,,,
대전광역시 서구 복수동,,,,
대전광역시 서구 산직동,,,,
대전광역시 서구 용문동,,,,
대전광역시 서구 용촌동,,,,
대전광역시 서구 우명동,,,,
대전광역시 서구 원정동,,,,
대전광역시 서구 월평동,,,,
대전광역시 서구 장안동,,,,
대전광역시 서구 정림동,,,,
대전광역시 서구 탄방동,,,,
대전광역시 서구 평촌동,,,,
대전광역시 서구 흑석동,,,,
세종시 가람동,,,,
세종시 고운동,,,,
세종시 금남면,,,,
세종시 나성동,,,,
세종시 누리동,,,,
세종시 다솜동,,,,
세종시 다정동,,,,
세종시 대평동,,,,
세종시 도담동,,,,
세종시 반곡동,,,,
세종시 보람동,,,,
세종시 부강면,,,,
세종시 산울동,,,,
세종시 새롬동,,,,
세종시 세종동,,,,
세종시 소담동,,,,
세종시 소정면,,,,
세종시 아름동,,,,
세종시 어진동,,,,
세종시 연기면,,,,
세종시 연동면,,,,
세종시 연서면,,,,
세종시 장군면,,,,
세종시 전동면,,,,
세종시 전의면,,,,
세종시 조치원읍,,,,
세종시 종촌동,,,,
세종시 집현동,,,,
세종시 한별동,,,,
세종시 한솔동,,,,
세종시 해밀동,,,,
아산시 권곡동,,,,
아산시 기산동,,,,
아산시 도고면,,,,
아산시 둔포면,,,,
아산시 득산동,,,,
아산시 모종동,,,,
아산시 방축동,,,,
아산시 배미동,,,,
아산시 배방읍,,,,
아산시 법곡동,,,,
아산시 송악면,,,,
아산시 신동,,,,
아산시 신창면,,,,
아산시 염치읍,,,,
아산시 영인면,,,,
아산시 온천동,,,,
아산시 용화동,,,,
아산시 음봉면,,,,
아산시 읍내동,,,,
아산시 인주면,,,,
아산시 탕정면,,,,
아산시 풍기동,,,,
안성시 낙원동,,,,
안성시 미양면,,,,
안성시 봉산동,,,,
안성시 서운면,,,,
안성시 인지동,,,,
안성시 중리동,,,,
옥천군 군북면,,,,
옥천군 옥천읍,,,,
대전광역시 유성구 가정동,,,,
대전광역시 유성구 갑동,,,,
대전광역시 유성구 계산동,,,,
대전광역시 유성구 관평동,,,,
대전광역시 유성구 교촌동,,,,
대전광역시 유성구 구룡동,,,,
대전광역시 유성구 구성동,,,,
대전광역시 유성구 구암동,,,,
대전광역시 유성구 궁동,,,,
대전광역시 유성구 금고동,,,,
대전광역시 유성구 노은동,,,,
대전광역시 유성구 대정동,,,,
대전광역시 유성구 덕명동,,,,
대전광역시 유성구 덕진동,,,,
대전광역시 유성구 도룡동,,,,
대전광역시 유성구 둔곡동,,,,
대전광역시 유성구 문지동,,,,
대전광역시 유성구 반석동,,,,
대전광역시 유성구 방동,,,,
대전광역시 유성구 방현동,,,,
대전광역시 유성구 복용동,,,,
대전광역시 유성구 봉명동,,,,
대전광역시 유성구 봉산동,,,,
대전광역시 유성구 상대동,,,,
대전광역시 유성구 성북동,,,,
대전광역시 유성구 세동,,,,
대전광역시 유성구 송강동,,,,
대전광역시 유성구 송정동,,,,
대전광역시 유성구 신동,,,,
대전광역시 유성구 신봉동,,,,
대전광역시 유성구 신성동,,,,
대전광역시 유성구 안산동,,,,
대전광역시 유성구 어은동,,,,
대전광역시 유성구 외삼동,,,,
대전광역시 유성구 용계동,,,,
대전광역시 유성구 용산동,,,,
대전광역시 유성구 원내동,,,,
대전광역시 유성구 원신흥동,,,,
대전광역시 유성구 원촌동,,,,
대전광역시 유성구 자운동,,,,
대전광역시 유성구 장대동,,,,
대전광역시 유성구 장동,,,,
대전광역시 유성구 전민동,,,,
대전광역시 유성구 죽동,,,,
대전광역시 유성구 지족동,,,,
대전광역시 유성구 추목동,,,,
대전광역시 유성구 탑립동,,,,
대전광역시 유성구 하기동,,,,
대전광역시 유성구 학하동,,,,
대전광역시 유성구 화암동,,,,
대전광역시 중구 금동,,,,
대전광역시 중구 대사동,,,,
대전광역시 중구 대흥동,,,,
대전광역시 중구 목달동,,,,
대전광역시 중구 목동,,,,
대전광역시 중구 무수동,,,,
대전광역시 중구 문창동,,,,
대전광역시 중구 문화동,,,,
대전광역시 중구 부사동,,,,
대전광역시 중구 사정동,,,,
대전광역시 중구 산성동,,,,
대전광역시 중구 석교동,,,,
대전광역시 중구 선화동,,,,
대전광역시 중구 안영동,,,,
대전광역시 중구 어남동,,,,
대전광역시 중구 오류동,,,,
대전광역시 중구 옥계동,,,,
대전광역시 중구 용두동,,,,
대전광역시 중구 유천동,,,,
대전광역시 중구 은행동,,,,
대전광역시 중구 중촌동,,,,
대전광역시 중구 침산동,,,,
대전광역시 중구 태평동,,,,
대전광역시 중구 호동,,,,
증평군 증평읍,,,,
진천군 문백면,,,,
진천군 진천읍,,,,
천안시  광덕면,,,,
천안시  구룡동,,,,
천안시  구성동,,,,
천안시  다가동,,,,
천안시  대흥동,,,,
천안시  동면,,,,
천안시  두정동,,,,
천안시  목천읍,,,,
천안시  문화동,,,,
천안시  백석동,,,,
천안시  병천면,,,,
천안시  봉명동,,,,
천안시  부대동,,,,
천안시  북면,,,,
천안시  불당동,,,,
천안시  사직동,,,,
천안시  삼룡동,,,,
천안시  성거읍,,,,
천안시  성남면,,,,
천안시  성성동,,,,
천안시  성정동,,,,
천안시  성환읍,,,,
천안시  성황동,,,,
천안시  수신면,,,,
천안시  신당동,,,,
천안시  신방동,,,,
천안시  신부동,,,,
천안시  쌍용동,,,,
천안시  안서동,,,,
천안시  업성동,,,,
천안시  영성동,,,,
천안시  오룡동,,,,
천안시  와촌동,,,,
천안시  용곡동,,,,
천안시  원성동,,,,
천안시  유량동,,,,
천안시  입장면,,,,
천안시  직산읍,,,,
천안시  차암동,,,,
천안시  청당동,,,,
천안시  청수동,,,,
천안시  풍세면,,,,
청주시  가경동,,,,
청주시  가덕면,,,,
청주시  강내면,,,,
청주시  강서동,,,,
청주시  개신동,,,,
청주시  금천동,,,,
청주시  남문로1가,,,,
청주시  남이면,,,,
청주시  남일면,,,,
청주시  낭성면,,,,
청주시  내곡동,,,,
청주시  내덕동,,,,
청주시  내수읍,,,,
청주시  대성동,,,,
청주시  동막동,,,,
청주시  명암동,,,,
청주시  모충동,,,,
청주시  문암동,,,,
청주시  문의면,,,,
청주시  문화동,,,,
청주시  미원면,,,,
청주시  미평동,,,,
청주시  방서동,,,,
청주시  복대동,,,,
청주시  봉명동,,,,
청주시  북문로1가,,,,
청주시  북문로2가,,,,
청주시  북문로3가,,,,
청주시  북이면,,,,
청주시  분평동,,,,
청주시  비하동,,,,
청주시  사직동,,,,
